Text;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Created-At;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
" : Amazon US: 
PowerColor Liquid Devil AMD Radeon RX 6800XT Gaming Graphics Card with 16GB GDDR6...…";MoonKraken;1509631395911680000,0;;-1,0;en;"<a href=""";2022-04-01 11:07:55;;;1,0;1509819838935580000,0
"Amazon US: 
PowerColor Liquid Devil AMD Radeon RX 6800XT Gaming Graphics Card with 16GB GDDR6...

rx6800xt 6800xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 11:00:36;;;1,0;1509818000010060000,0
"Amazon CA: 
EVGA GeForce GTX 1660 Black Gaming, 6GB GDDR5, Single Fan 06G-P4-1160-KR

gtx1660 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 10:30:24;;;,0;1509810397183990000,0
"Amazon US: 
ASUS ROG Strix LC AMD Radeon™ RX 6900 XT TOP Edition Gaming Graphics Card (AMD...

rx6900xt 6900xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 10:00:06;;;,0;1509802771066800000,0
"Amazon US: 
...

rtx3050 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 09:30:37;;;,0;1509795354979490000,0
"Amazon CA: 
2021 Newst ASUS ROG STRIX GeForce X 3060 Ti OC Edition Gaming Graphics Card...

rtx3060ti 3060ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 09:30:33;;;,0;1509795335526310000,0
"Amazon CA: 
ASUS Dual GeForce X 3050 OC Edition 8GB NVIDIA GDDR6 Graphics Card

rtx3050 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 08:00:35;;;,0;1509772696665600000,0
"Amazon US: 
ASUS Dual NVIDIA GeForce X 3060 V2 OC Edition 12GB GDDR6 Gaming Graphics Card...

rtx3060ti 3060ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 08:00:06;;;,0;1509772574993130000,0
"Amazon CA: 
ZOTAC Gaming GeForce GTX 1650 OC 4GB GDDR6 128-bit Gaming Graphics Card, Super...

gtx1650super 1650super geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 07:00:28;;;,0;1509757567182030000,0
"Amazon US: 
MSI Gaming AMD Radeon RX 6600 XT 8GB GDDR6 128-Bit HDMI/DP Torx Fan RGB Graphics...

rx6600xt 6600xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 06:00:35;;;,0;1509742497190360000,0
"Amazon CA: 
New 2021 GeForce X 3080 Ti 12GB GDDR6X PCI Express 4.0 Graphics Card Titanium...

rtx3080ti 3080ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 06:00:32;;;,0;1509742484091460000,0
"Amazon CA: 
Sapphire 11293-03-40G Radeon NITRO+ RX 5700 XT 8GB GDDR6 Dual HDMI / Dual DP OC...

rx5700xt 5700xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 05:30:24;;;,0;1509734899409960000,0
"Amazon CA: 
GIGABYTE GeForce X 3070 Vision OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB 256-Bit...

rtx3070 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 05:00:30;;;,0;1509727374795020000,0
"Amazon CA: 
GIGABYTE AORUS X 3080 Ti Gaming Box eGPU, WATERFORCE All-in-One Cooling System...

rtx3080ti 3080ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 04:30:25;;;,0;1509719803954670000,0
"Amazon US: 
MSI Armor Radeon RX 6600 8GB GDDR6 PCI Express 4.0 ATX Video Card RX 6600 Armor...

rx6600 radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 04:00:08;;;,0;1509712182732280000,0
"Amazon CA: 
Asus TUF Gaming GeForce GTX 1660 Super Overclocked 6GB Edition HDMI DP DVI Gaming...

gtx1660super 1660super geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 02:30:24;;;,0;1509689603997020000,0
"Amazon US: 
MSI Gaming GeForce X 2080 Ti 11GB GDRR6 GRAPHIC CARD G208TVGP11 (Renewed)

rtx2080ti 2080ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 02:00:28;;;,0;1509682069013730000,0
"Amazon US: 
ASUS Dual NVIDIA GeForce X 2060 Mini Gaming Graphics Card (PCIe 3.0, 6GB GDDR6...

rtx2060 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 01:30:05;;;,0;1509674421275040000,0
"Amazon CA: 
ASUS ROG Strix NVIDIA GeForce X 3060 V2 OC Edition Gaming Graphics Card (PCIe...

rtx3060ti 3060ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 01:00:25;;;,0;1509666959029380000,0
"Amazon US: 
MSI NVIDIA GeForce GTX 1660 Super Ventus XS VR Ready OC PCIe 3.0 Graphics Card...

gtx1660super 1660super geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-04-01 00:00:28;;;,0;1509651868204550000,0
"Amazon US: 
MSI Gaming Radeon RX 6700 XT 192-bit 12GB GDDR6 DP/HDMI Dual Torx 3.0 Fans FreeSync...

rx6700xt 6700xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 23:30:05;;;,0;1509644224978990000,0
"?? AMAZON-CA : EVGA GeForce X 3090 FTW3 ULTRA GAMING- C$2595

Link: 

ATC: 

amazon-ca | evga | rtx3090 | ad

TS: 1648761581806";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 23:19:41;;;,0;1509641608463070000,0
"Amazon CA: 
GIGABYTE AORUS GeForce X 3080 Master 12G Graphics Card, MAX-Covered Cooling...

rtx3080 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 23:00:25;;;,0;1509636756538380000,0
"Amazon US: 
ASRock VCX RX6800 PGD 16GO RX 6800 Graphics GDDR6 16GB 256Bit HDMI DP Retail

rx6800 radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 22:00:27;;;,0;1509621665289970000,0
"Amazon CA: 
EVGA GeForce GTX 1660 Black Gaming, 6GB GDDR5, Single Fan 06G-P4-1160-KR

gtx1660 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 22:00:23;;;,0;1509621651880690000,0
"?? AMAZON-CA : EVGA GeForce X 3090 FTW3 ULTRA GAMING- C$2595

Link: 

ATC: 

amazon-ca | evga | rtx3090 | ad

TS: 1648755521785";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 21:38:41;;;,0;1509616190934900000,0
"Amazon CA: 
ASUS ROG STRIX NVIDIA GeForce X™ 3090 White OC Edition Gaming Graphics Card...

rtx3090 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 21:30:22;;;,0;1509614097746310000,0
"Amazon CA: 
ASUS Dual NVIDIA GeForce X 3060 V2 OC Edition 12GB GDDR6 Gaming Graphics Card...

rtx3060ti 3060ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 21:00:24;;;,0;1509606556597370000,0
"Amazon US: 
PowerColor Hellhound AMD Radeon RX 6600 Graphics Card with 8GB GDDR6 Memory

rx6600 radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 20:30:06;;;,0;1509598931306560000,0
"6600xt on amazon
";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 20:10:26;;;,0;1509593981977520000,0
"?? AMAZON-CA : EVGA GeForce X 3090 FTW3 ULTRA GAMING- C$2595

Link: 

ATC: 

amazon-ca | evga | rtx3090 | ad

TS: 1648749971765";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 20:06:11;;;,0;1509592912308360000,0
"Amazon US: 
GIGABYTE GeForce X 3050 Gaming OC 8G Graphics Card, 3X WINDFORCE Fans, 8GB GDDR6...

rtx3050 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 20:00:36;;;,0;1509591507497630000,0
"Amazon CA: 
ASUS TUF Gaming Nvidia GeForce X 3070 Ti OC Edition 8GB GDDR6X Graphics Card...

rtx3070ti 3070ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 19:00:23;;;,0;1509576352768410000,0
"Amazon CA: 
GIGABYTE AORUS Radeon RX 6900 XT Master 16G Graphics Card, MAX-Covered Cooling...

rx6900xt 6900xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 18:30:25;;;,0;1509568809455210000,0
"?? AMAZON-CA : EVGA GeForce X 3090 FTW3 ULTRA GAMING- C$2595

Link: 

ATC: 

amazon-ca | evga | rtx3090 | ad

TS: 1648743841210";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 18:24:01;;;,0;1509567198930550000,0
"Amazon US: 
ASUS ROG Strix NVIDIA GeForce X 3070 V2 OC Edition Gaming Graphics Card (PCIe...

rtx3070ti 3070ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 18:00:29;;;,0;1509561278381050000,0
"Amazon US: 
PowerColor AMD Radeon™ RX 6900 XT Gaming Graphics Card with 16GB GDDR6 Memory...

rx6900xt 6900xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 16:30:37;;;,0;1509538660315720000,0
"Amazon CA: 
AMD Radeon RX 580 8GB GDDR5 PCI Express 3.0 Gaming Graphics Card - OEM

rx580 radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 16:30:33;;;,0;1509538647103650000,0
"?? AMAZON-CA : EVGA GeForce X 3090 FTW3 ULTRA GAMING- C$2595

Link: 

ATC: 

amazon-ca | evga | rtx3090 | ad

TS: 1648737001257";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 16:30:01;;;,0;1509538510088330000,0
"Amazon US: 
EVGA GeForce X 3060 Ti XC Gaming, 08G-P5-3663-KL, 8GB GDDR6, Metal Backplate...

rtx3060ti 3060ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 16:00:08;;;,0;1509530989646650000,0
"?? AMAZON-CA : EVGA GeForce X 3090 FTW3 ULTRA GAMING- C$2595

Link: 

ATC: 

amazon-ca | evga | rtx3090 | ad

TS: 1648730971258";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 14:49:31;;;,0;1509513218447790000,0
"Amazon US: 
AmazinXpress AX Bundle X 3060 V2 OC Edition Gaming Graphics Card 12GB GDDR6...

rtx3060ti 3060ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 14:00:28;;;,0;1509500875437450000,0
"Amazon CA: 
New 2021 GeForce X 3080 Ti 12GB GDDR6X PCI Express 4.0 Graphics Card Titanium...

rtx3080ti 3080ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 14:00:24;;;,0;1509500859226500000,0
"Amazon US: 
EVGA GeForce X 2060 XC Gaming 12GB GDDR6 Graphics Card

rtx2060 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 13:30:25;;;,0;1509493314931890000,0
"Amazon CA: 
ASUS TUF-GTX1650-4GD6-P-GAMING

gtx1650 geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 13:00:23;;;,0;1509485756456350000,0
"?? AMAZON-CA : EVGA GeForce X 3090 FTW3 ULTRA GAMING- C$2595

Link: 

ATC: 

amazon-ca | evga | rtx3090 | ad

TS: 1648724191205";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 12:56:31;;;,0;1509484780831840000,0
"Amazon CA: 
ASUS Dual AMD Radeon RX 6600 XT OC Edition 8GB GDDR6 Gaming Graphics Card (AMD...

rx6600xt 6600xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 12:30:37;;;,0;1509478262505880000,0
"Amazon US: 
ZOTAC Gaming NVIDIA GeForce GTX 1660 Super Twin Fan Super 6GB Graphics Card

gtx1660super 1660super geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 12:30:07;;;,0;1509478136156770000,0
"Amazon US: 
PowerColor Red Dragon AMD Radeon™ RX 6800 Gaming Graphics Card with 16GB GDDR6...

rx6800 radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 12:00:11;;;,0;1509470605912990000,0
"Amazon US: 
ASUS ROG Strix LC AMD Radeon™ RX 6900 XT OC Edition Gaming Graphics Card (PCIe...

rx6900xt 6900xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 11:30:06;;;,0;1509463036003850000,0
"?? AMAZON-CA : EVGA GeForce X 3090 FTW3 ULTRA GAMING- C$2595

Link: 

ATC: 

amazon-ca | evga | rtx3090 | ad

TS: 1648717741180";Kings RTX Stock;1345742988383820000,0;;-1,0;en;"<a href=""";2022-03-31 11:09:01;;;,0;1509457727436820000,0
"Amazon US: 
Sapphire Technology 11308-06-20G Toxic AMD Radeon RX 6900 XT Limited Edition PCIe...

rx6900xt 6900xt radeon gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 10:00:31;;;,0;1509440489283590000,0
"Amazon CA: 
2021 Newst ASUS ROG STRIX GeForce X 3060 Ti OC Edition Gaming Graphics Card...

rtx3060ti 3060ti geforce gpustock gpualert cryptomining mining crypto";GPU Stock Updater;1483457332478680000,0;;-1,0;en;"<a href=""";2022-03-31 10:00:25;;;,0;1509440464092600000,0
